WRL	0	WR			World
WQT	4	Q	2011-06-14	2013-11-20	2014_World_Cup_qualifying
ACQ	5	SC	2011-06-28	2013-09-10	2014_World_Cup_AFC_qualifying
CFQ	5	FF	2011-11-10	2013-11-19	2014_World_Cup_CAF_qualifying
NCQ	5	NC	2011-06-14	2013-10-15	2014_World_Cup_CONCACAF_qualifying
MBQ	5	MB	2011-10-06	2013-10-15	2014_World_Cup_CONMEBOL_qualifying
OFQ	5	OF	2011-11-21	2013-03-26	2014_World_Cup_OFC_qualifying
UEQ	5	UE	2012-09-06	2013-11-19	2014_World_Cup_UEFA_qualifying
WQP	5	P	2013-11-12	2013-11-20	2014_World_Cup_qualifying_playoffs
WC	3	2010	2010-06-10	2010-07-11	2010_World_Cup
WQT	4	Q	2007-08-24	2009-11-18	2010_World_Cup_qualifying
ACQ	5	SC	2007-10-07	2009-09-09	2010_World_Cup_AFC_qualifying
CFQ	5	FF	2007-10-13	2009-11-18	2010_World_Cup_CAF_qualifying
NCQ	5	NC	2008-02-02	2009-10-14	2010_World_Cup_CONCACAF_qualifying
MBQ	5	MB	2007-10-12	2009-10-14	2010_World_Cup_CONMEBOL_qualifying
OFQ	5	OF	2007-08-24	2008-11-19	2010_World_Cup_OFC_qualifying
UEQ	5	UE	2008-08-19	2009-11-18	2010_World_Cup_UEFA_qualifying
WQP	5	P	2009-10-09	2009-11-18	2010_World_Cup_qualifying_playoffs
WC	3	2006	2006-06-08	2006-07-09	2006_World_Cup
WQT	4	Q	2003-09-05	2005-11-16	2006_World_Cup_qualifying
ACQ	5	SC	2003-11-18	2005-10-12	2006_World_Cup_AFC_qualifying
CFQ	5	FF	2003-10-09	2005-10-09	2006_World_Cup_CAF_qualifying
NCQ	5	NC	2004-02-17	2005-10-12	2006_World_Cup_CONCACAF_qualifying
MBQ	5	MB	2003-09-05	2005-10-12	2006_World_Cup_CONMEBOL_qualifying
OFQ	5	OF	2004-05-09	2005-09-06	2006_World_Cup_OFC_qualifying
UEQ	5	UE	2004-08-17	2005-11-16	2006_World_Cup_UEFA_qualifying
WQP	5	P	2005-11-11	2005-11-16	2006_World_Cup_qualifying_playoffs
WC	3	2002	2002-05-30	2002-06-30	2002_World_Cup
WQT	4	Q	2000-03-03	2001-11-25	2002_World_Cup_qualifying
ACQ	5	SC	2000-11-23	2001-10-31	2002_World_Cup_AFC_qualifying
CFQ	5	FF	2000-04-06	2001-07-29	2002_World_Cup_CAF_qualifying
NCQ	5	NC	2000-03-03	2001-11-11	2002_World_Cup_CONCACAF_qualifying
MBQ	5	MB	2000-03-27	2001-11-14	2002_World_Cup_CONMEBOL_qualifying
OFQ	5	OF	2001-04-06	2001-06-24	2002_World_Cup_OFC_qualifying
UEQ	5	UE	2000-08-15	2001-11-14	2002_World_Cup_UEFA_qualifying
WQP	5	P	2001-11-09	2001-11-25	2002_World_Cup_qualifying_playoffs
WC	3	1998	1998-06-09	1998-07-12	1998_World_Cup
WQT	4	Q	1996-03-09	1997-11-29	1998_World_Cup_qualifying
ACQ	5	SC	1996-09-19	1997-11-16	1998_World_Cup_AFC_qualifying
CFQ	5	FF	1996-05-30	1997-08-17	1998_World_Cup_CAF_qualifying
NCQ	5	NC	1996-03-09	1997-11-16	1998_World_Cup_CONCACAF_qualifying
MBQ	5	MB	1996-04-23	1997-11-16	1998_World_Cup_CONMEBOL_qualifying
OFQ	5	OF	1996-09-15	1997-07-06	1998_World_Cup_OFC_qualifying
UEQ	5	UE	1996-04-23	1997-11-15	1998_World_Cup_UEFA_qualifying
WQP	5	P	1997-11-21	1997-11-29	1998_World_Cup_qualifying_playoffs
WC	3	1994	1994-06-16	1994-07-17	1994_World_Cup
WQT	4	Q	1992-03-20	1993-11-17	1994_World_Cup_qualifying
ACQ	5	SC	1993-04-07	1993-10-28	1994_World_Cup_AFC_qualifying
CFQ	5	FF	1992-10-08	1993-10-10	1994_World_Cup_CAF_qualifying
NCQ	5	NC	1992-03-20	1993-05-09	1994_World_Cup_CONCACAF_qualifying
MBQ	5	MB	1993-07-17	1993-09-19	1994_World_Cup_CONMEBOL_qualifying
OFQ	5	OF	1992-06-06	1993-06-06	1994_World_Cup_OFC_qualifying
UEQ	5	UE	1992-04-21	1993-11-17	1994_World_Cup_UEFA_qualifying
WQP	5	P	1993-07-30	1993-11-17	1994_World_Cup_qualifying_playoffs
WC	3	1990	1990-06-07	1990-07-08	1990_World_Cup
WQT	4	Q	1988-04-16	1989-11-19	1990_World_Cup_qualifying
ACQ	5	SC	1989-01-05	1989-10-28	1990_World_Cup_AFC_qualifying
CFQ	5	FF	1988-06-02	1989-11-19	1990_World_Cup_CAF_qualifying
NCQ	5	NC	1988-04-16	1989-11-19	1990_World_Cup_CONCACAF_qualifying
MBQ	5	MB	1989-07-29	1989-09-24	1990_World_Cup_CONMEBOL_qualifying
OFQ	5	OF	1988-11-25	1989-04-02	1990_World_Cup_OFC_qualifying
UEQ	5	UE	1988-05-20	1989-11-18	1990_World_Cup_UEFA_qualifying
WQP	5	P	1989-10-14	1989-10-30	1990_World_Cup_qualifying_playoffs
WC	3	1986	1986-05-30	1986-06-29	1986_World_Cup
WQT	4	Q	1984-05-01	1985-12-04	1986_World_Cup_qualifying
ACQ	5	SC	1985-01-18	1985-11-29	1986_World_Cup_AFC_qualifying
CFQ	5	FF	1984-06-29	1985-10-18	1986_World_Cup_CAF_qualifying
NCQ	5	NC	1984-06-14	1985-09-14	1986_World_Cup_CONCACAF_qualifying
MBQ	5	MB	1985-03-02	1985-11-17	1986_World_Cup_CONMEBOL_qualifying
OFQ	5	OF	1985-09-20	1985-11-03	1986_World_Cup_OFC_qualifying
UEQ	5	UE	1984-05-01	1985-11-20	1986_World_Cup_UEFA_qualifying
WQP	5	P	1985-11-19	1985-12-04	1986_World_Cup_qualifying_playoffs
WC	3	1982	1982-06-12	1982-07-11	1982_World_Cup
WQT	4	Q	1980-03-25	1982-01-10	1982_World_Cup_qualifying
AOQ	5	AOF	1980-12-20	1982-01-10	1982_World_Cup_AFC_and_OFC_qualifying
CFQ	5	FF	1980-05-07	1981-11-29	1982_World_Cup_CAF_qualifying
NCQ	5	NC	1980-03-29	1981-11-22	1982_World_Cup_CONCACAF_qualifying
MBQ	5	MB	1981-02-07	1981-09-13	1982_World_Cup_CONMEBOL_qualifying
UEQ	5	UE	1980-03-25	1981-12-05	1982_World_Cup_UEFA_qualifying
WC	3	1978	1978-05-31	1978-06-25	1978_World_Cup
WQT	4	Q	1976-03-06	1977-12-11	1978_World_Cup_qualifying
AOQ	5	AOF	1976-11-11	1977-12-04	1978_World_Cup_AFC_and_OFC_qualifying
CFQ	5	FF	1976-03-06	1977-12-11	1978_World_Cup_CAF_qualifying
NCQ	5	NC	1976-04-01	1977-10-23	1978_World_Cup_CONCACAF_qualifying
MBQ	5	MB	1977-02-08	1977-07-17	1978_World_Cup_CONMEBOL_qualifying
UEQ	5	UE	1976-05-22	1977-12-03	1978_World_Cup_UEFA_qualifying
WQP	5	P	1977-10-28	1977-11-30	1978_World_Cup_qualifying_playoffs
WC	3	1974	1974-06-12	1974-07-07	1974_World_Cup
WQT	4	Q	1971-11-13	1974-02-13	1974_World_Cup_qualifying
AOQ	5	AOF	1973-03-03	1973-11-13	1974_World_Cup_AFC_and_OFC_qualifying
CFQ	5	FF	1972-03-01	1973-12-09	1974_World_Cup_CAF_qualifying
NCQ	5	NC	1972-04-14	1973-12-18	1974_World_Cup_CONCACAF_qualifying
MBQ	5	MB	1973-04-28	1973-10-07	1974_World_Cup_CONMEBOL_qualifying
UEQ	5	UE	1971-11-13	1974-02-13	1974_World_Cup_UEFA_qualifying
WQP	5	P	1973-09-25	1973-09-26	1974_World_Cup_qualifying_playoffs
WC	3	1970	1970-05-30	1970-06-21	1970_World_Cup
WQT	4	Q	1968-05-18	1969-12-14	1970_World_Cup_qualifying
AOQ	5	AOF	1969-09-27	1969-12-14	1970_World_Cup_AFC_and_OFC_qualifying
CFQ	5	FF	1968-10-26	1969-11-08	1970_World_Cup_CAF_qualifying
NCQ	5	NC	1968-10-05	1969-10-08	1970_World_Cup_CONCACAF_qualifying
MBQ	5	MB	1969-07-05	1969-08-31	1970_World_Cup_CONMEBOL_qualifying
UEQ	5	UE	1968-05-18	1969-12-07	1970_World_Cup_UEFA_qualifying
WC	3	1966	1966-07-10	1966-07-30	1966_World_Cup
WQT	4	Q	1964-05-23	1965-12-29	1966_World_Cup_qualifying
NCQ	5	NC	1965-01-15	1965-05-22	1966_World_Cup_CONCACAF_qualifying
MBQ	5	MB	1965-05-15	1965-10-12	1966_World_Cup_CONMEBOL_qualifying
UEQ	5	UE	1964-05-23	1965-12-29	1966_World_Cup_UEFA_qualifying
WQP	5	P	1965-11-20	1965-11-24	1966_World_Cup_qualifying_playoffs
WC	3	1962	1962-05-29	1962-06-17	1962_World_Cup
WQT	4	Q	1960-08-20	1961-12-16	1962_World_Cup_qualifying
ACQ	5	SC	1960-11-05	1961-06-11	1962_World_Cup_AFC_qualifying
CFQ	5	FF	1960-08-27	1961-05-28	1962_World_Cup_CAF_qualifying
CNQ	5	CNA	1960-08-20	1961-05-21	1962_World_Cup_CCCF_and_NAFC_qualifying
MBQ	5	MB	1960-12-03	1961-07-30	1962_World_Cup_CONMEBOL_qualifying
UEQ	5	UE	1960-09-24	1961-12-16	1962_World_Cup_UEFA_qualifying
WQP	5	P	1961-10-07	1961-11-26	1962_World_Cup_qualifying_playoffs
WC	3	1958	1958-06-07	1958-06-29	1958_World_Cup
WQT	4	Q	1956-09-29	1958-02-05	1958_World_Cup_qualifying
AFQ	5	ACF	1957-03-07	1957-06-23	1958_World_Cup_AFC_and_CAF_qualifying
CNQ	5	CNA	1957-02-09	1957-10-27	1958_World_Cup_CCCF_and_NAFC_qualifying
MBQ	5	MB	1957-04-12	1957-10-27	1958_World_Cup_CONMEBOL_qualifying
UEQ	5	UE	1956-09-29	1958-01-15	1958_World_Cup_UEFA_qualifying
WQP	5	P	1958-01-14	1958-02-05	1958_World_Cup_qualifying_playoffs
WC	3	1954	1954-06-15	1954-07-04	1954_World_Cup
WQT	4	Q	1953-05-08	1954-04-04	1954_World_Cup_qualifying
WC	3	1950	1950-06-23	1950-07-16	1950_World_Cup
WQT	4	Q	1949-06-01	1950-04-15	1950_World_Cup_qualifying
WC	3	1938	1938-06-03	1938-06-19	1938_World_Cup
WQT	4	Q	1937-06-15	1938-05-01	1938_World_Cup_qualifying
WC	3	1934	1934-05-26	1934-06-10	1934_World_Cup
WQT	4	Q	1933-06-10	1934-05-24	1934_World_Cup_qualifying
WC	3	1930	1930-07-12	1930-07-30	1930_World_Cup
OG	2				1928_Olympic_Games
OG	3	1928	1928-05-26	1928-06-13	1928_Olympic_Games
OG	3	1924	1924-05-24	1924-06-09	1924_Olympic_Games
OG	3	1920	1920-08-27	1920-09-05	1920_Olympic_Games
OG	3	1912	1912-06-28	1912-07-05	1912_Olympic_Games
OG	3	1908	1908-10-19	1908-10-24	1908_Olympic_Games
IC	2				2022_Intercontinental_Championship
IC	3	2022	2022-05-31	2022-06-01	2022_Intercontinental_Championship
CC	3	2017	2017-06-16	2017-07-02	2017_Confederations_Cup
CC	3	2013	2013-06-14	2013-06-30	2013_Confederations_Cup
CC	3	2009	2009-06-13	2009-06-28	2009_Confederations_Cup
CC	3	2005	2005-06-14	2005-06-29	2005_Confederations_Cup
CC	3	2003	2003-06-17	2003-06-29	2003_Confederations_Cup
CC	3	2001	2001-05-29	2001-06-10	2001_Confederations_Cup
CC	3	1999	1999-07-23	1999-08-04	1999_Confederations_Cup
CC	3	1997	1997-12-11	1997-12-21	1997_Confederations_Cup
IC	3	1995	1995-01-05	1995-01-13	1995_Intercontinental_Championship
AFT	3	1993	1993-02-23	1993-02-24	1993_Artemio_Franchi_Trophy
IC	3	1992	1992-10-14	1992-10-20	1992_Intercontinental_Championship
AFT	3	1985	1985-08-20	1985-08-21	1985_Artemio_Franchi_Trophy
ARC	2				2025_Arab_Cup
ARC	3	2025	2025-11-30	2025-12-18	2025_Arab_Cup
AQT	4	Q	2025-11-24	2025-11-26	2025_Arab_Cup_qualifying
ARC	3	2021	2021-11-29	2021-12-18	2021_Arab_Cup
AQT	4	Q	2021-06-18	2021-06-25	2021_Arab_Cup_qualifying
ARC	3	2012	2012-06-21	2012-07-06	2012_Arab_Cup
ARC	3	2009			2009_Arab_Cup_qualifying
AQT	4	Q	2006-12-13	2006-12-27	2009_Arab_Cup_qualifying
ARC	3	2002	2002-12-15	2002-12-30	2002_Arab_Cup
ARC	3	1998	1998-09-21	1998-10-01	1998_Arab_Cup
AQT	4	Q	1998-07-19	1998-07-26	1998_Arab_Cup_qualifying
ARC	3	1992	1992-09-03	1992-09-18	1992_Arab_Cup
ARC	3	1988	1988-07-07	1988-07-21	1988_Arab_Cup
AQT	4	Q	1987-12-10	1988-04-15	1988_Arab_Cup_qualifying
ARC	3	1985	1985-07-02	1985-07-12	1985_Arab_Cup
AQT	4	Q	1983-12-01	1984-05-18	1985_Arab_Cup_qualifying
PAL	3	1975	1975-12-17	1975-12-28	1975_Palestine_Cup
PAL	3	1973	1973-08-10	1973-08-26	1973_Palestine_Cup
PAL	3	1972	1971-12-31	1972-01-14	1972_Palestine_Cup
ARC	3	1966	1966-03-31	1966-04-10	1966_Arab_Cup
ARC	3	1964	1964-11-12	1964-11-20	1964_Arab_Cup
ARC	3	1963	1963-03-30	1963-04-07	1963_Arab_Cup
PAR	2				2011_Pan-Arab_Games
PAR	3	2011	2011-12-09	2011-12-23	2011_Pan-Arab_Games
PAR	3	2007	2007-11-12	2007-11-25	2007_Pan-Arab_Games
PAR	3	1999	1999-08-15	1999-08-31	1999_Pan-Arab_Games
PAR	3	1997	1997-07-12	1997-07-27	1997_Pan-Arab_Games
PAR	3	1992	1992-09-03	1992-09-18	1992_Pan-Arab_Games
PAR	3	1985	1985-08-02	1985-08-16	1985_Pan-Arab_Games
PAR	3	1976	1976-10-06	1976-10-21	1976_Pan-Arab_Games
PAR	3	1965	1965-09-01	1965-09-11	1965_Pan-Arab_Games
PAR	3	1961	1961-09-02	1961-09-10	1961_Pan-Arab_Games
PAR	3	1957	1957-10-18	1957-10-27	1957_Pan-Arab_Games
PAR	3	1953	1953-07-31	1953-08-10	1953_Pan-Arab_Games
FRN	2				2012_French_Territory_Cup
FRN	3	2012	2012-09-21	2012-09-29	2012_French_Territory_Cup
FRN	3	2010	2010-09-21	2010-10-02	2010_French_Territory_Cup
FRN	3	2008	2008-09-23	2008-10-04	2008_French_Territory_Cup
E	1				2024_European_Championship
EC	2				2024_European_Championship
EC	3	2024	2024-06-13	2024-07-14	2024_European_Championship
EQT	4	Q	2023-03-22	2024-03-26	2024_European_Championship_qualifying
EC	3	2021	2021-06-10	2021-07-11	2021_European_Championship
EQT	4	Q	2019-03-20	2020-11-12	2021_European_Championship_qualifying
EC	3	2016	2016-06-09	2016-07-10	2016_European_Championship
EQT	4	Q	2014-09-06	2015-11-17	2016_European_Championship_qualifying
EC	3	2012	2012-06-07	2012-07-01	2012_European_Championship
EQT	4	Q	2010-08-10	2011-11-15	2012_European_Championship_qualifying
EC	3	2008	2008-06-06	2008-06-29	2008_European_Championship
EQT	4	Q	2006-08-15	2007-11-24	2008_European_Championship_qualifying
EC	3	2004	2004-06-11	2004-07-04	2004_European_Championship
EQT	4	Q	2002-09-06	2003-11-19	2004_European_Championship_qualifying
EC	3	2000	2000-06-09	2000-07-02	2000_European_Championship
EQT	4	Q	1998-06-03	1999-11-17	2000_European_Championship_qualifying
EC	3	1996	1996-06-07	1996-06-30	1996_European_Championship
EQT	4	Q	1994-04-19	1995-12-13	1996_European_Championship_qualifying
EC	3	1992	1992-06-09	1992-06-26	1992_European_Championship
EQT	4	Q	1990-05-29	1991-12-22	1992_European_Championship_qualifying
EC	3	1988	1988-06-09	1988-06-25	1988_European_Championship
EQT	4	Q	1986-09-09	1987-12-20	1988_European_Championship_qualifying
EC	3	1984	1984-06-11	1984-06-27	1984_European_Championship
EQT	4	Q	1982-04-30	1983-12-22	1984_European_Championship_qualifying
EC	3	1980	1980-06-10	1980-06-22	1980_European_Championship
EQT	4	Q	1978-05-23	1980-03-26	1980_European_Championship_qualifying
EC	3	1976	1976-06-15	1976-06-20	1976_European_Championship
EQT	4	Q	1974-08-31	1976-05-22	1976_European_Championship_qualifying
EC	3	1972	1972-06-13	1972-06-18	1972_European_Championship
EQT	4	Q	1970-10-06	1972-05-17	1972_European_Championship_qualifying
EC	3	1968	1968-06-04	1968-06-10	1968_European_Championship
EQT	4	Q	1966-09-06	1968-05-11	1968_European_Championship_qualifying
EC	3	1964	1964-06-16	1964-06-21	1964_European_Championship
EQT	4	Q	1962-06-20	1964-05-27	1964_European_Championship_qualifying
EC	3	1960	1960-07-05	1960-07-10	1960_European_Championship
EQT	4	Q	1958-09-27	1960-05-29	1960_European_Championship_qualifying
ENL	2				2026-27_European_Nations_League_A
ENL	3	2026-27			2026-27_European_Nations_League_A
ENA	4	LA			2026-27_European_Nations_League_A
ENB	4	LB			2026-27_European_Nations_League_B
ENC	4	LC			2026-27_European_Nations_League_C
END	4	LD			2026-27_European_Nations_League_D
ENL	3	2024-25	2025-03-19	2025-06-08	2024-25_European_Nations_League
ENA	4	LA	2024-09-04	2024-11-19	2024-25_European_Nations_League_A
ABT	4	LAB	2025-03-19	2025-03-23	2024-25_European_Nations_League_A_B_Play-offs
ENB	4	LB	2024-09-05	2024-11-19	2024-25_European_Nations_League_B
BCT	4	LBC	2025-03-19	2025-03-23	2024-25_European_Nations_League_B_C_Play-offs
ENC	4	LC	2024-09-04	2024-11-19	2024-25_European_Nations_League_C
CDT	4	LCD	2026-03-25	2026-03-31	2024-25_European_Nations_League_C_D_Play-offs
END	4	LD	2024-09-04	2024-11-19	2024-25_European_Nations_League_D
ENL	3	2022-23	2023-06-13	2023-06-18	2022-23_European_Nations_League
ENA	4	LA	2022-05-31	2022-09-27	2022-23_European_Nations_League_A
ENB	4	LB	2022-06-01	2022-09-27	2022-23_European_Nations_League_B
ENC	4	LC	2022-06-01	2024-03-26	2022-23_European_Nations_League_C
END	4	LD	2022-06-01	2022-09-26	2022-23_European_Nations_League_D
ENL	3	2020-21	2021-10-05	2021-10-10	2020-21_European_Nations_League
ENA	4	LA	2020-09-02	2020-11-18	2020-21_European_Nations_League_A
ENB	4	LB	2020-09-02	2020-11-18	2020-21_European_Nations_League_B
ENC	4	LC	2020-09-02	2022-03-29	2020-21_European_Nations_League_C
END	4	LD	2020-09-02	2020-11-17	2020-21_European_Nations_League_D
ENL	3	2018-19	2019-06-04	2019-06-09	2018-19_European_Nations_League
ENA	4	LA	2018-09-05	2018-11-20	2018-19_European_Nations_League_A
ENB	4	LB	2018-09-05	2018-11-20	2018-19_European_Nations_League_B
ENC	4	LC	2018-09-05	2018-11-20	2018-19_European_Nations_League_C
END	4	LD	2018-09-05	2018-11-20	2018-19_European_Nations_League_D
BLK	2				1977-80_Balkan_Cup
BLK	3	1977-80	1977-02-15	1980-08-27	1977-80_Balkan_Cup
BLK	3	1973-76	1973-04-17	1976-11-28	1973-76_Balkan_Cup
BCE	3	1948	1948-04-03	1948-11-07	1948_Balkan_and_Central_European_Championship
BCE	3	1947	1947-05-24	1947-10-12	1947_Balkan_and_Central_European_Championship
BLK	3	1946	1946-10-06	1946-10-13	1946_Balkan_Cup
BLK	3	1936	1936-05-16	1936-05-24	1936_Balkan_Cup
BLK	3	1935	1935-06-15	1935-06-24	1935_Balkan_Cup
BLK	3	1934-35	1934-12-22	1935-01-01	1934-35_Balkan_Cup
BLK	3	1933	1933-06-02	1933-06-11	1933_Balkan_Cup
BLK	3	1932	1932-06-25	1932-07-03	1932_Balkan_Cup
BLK	3	1931	1931-09-26	1931-10-04	1931_Balkan_Cup
BLK	3	1929-31	1929-10-05	1931-11-29	1929-31_Balkan_Cup
BLC	2				2026_Baltic_Cup
2021-26	3
BLC	4	2026	2026-06-05	2026-06-09	2026_Baltic_Cup
BLC	4	2024	2024-06-07	2024-06-11	2024_Baltic_Cup
BLC	4	2022	2022-11-15	2022-11-19	2022_Baltic_Cup
BLC	4	2021	2021-05-31	2021-06-10	2021_Baltic_Cup
2000-18	3
BLC	4	2018	2018-05-29	2018-06-05	2018_Baltic_Cup
BLC	4	2016	2016-05-28	2016-06-04	2016_Baltic_Cup
BLC	4	2014	2014-05-28	2014-05-31	2014_Baltic_Cup
BLC	4	2012	2012-05-31	2012-06-03	2012_Baltic_Cup
BLC	4	2010	2010-06-17	2010-06-20	2010_Baltic_Cup
BLC	4	2008	2008-05-29	2008-06-01	2008_Baltic_Cup
BLC	4	2005	2005-05-20	2005-05-21	2005_Baltic_Cup
BLC	4	2003	2003-07-02	2003-07-05	2003_Baltic_Cup
BLC	4	2001	2001-07-02	2001-07-05	2001_Baltic_Cup
BLC	4	2000	2000-04-25	2000-04-26	2000_Baltic_Cup
1991-98	3
BLC	4	1998	1998-04-20	1998-06-28	1998_Baltic_Cup
BLC	4	1997	1997-07-08	1997-07-11	1997_Baltic_Cup
BLC	4	1996	1996-07-06	1996-07-09	1996_Baltic_Cup
BLC	4	1995	1995-05-18	1995-05-21	1995_Baltic_Cup
BLC	4	1994	1994-07-28	1994-07-31	1994_Baltic_Cup
BLC	4	1993	1993-07-01	1993-07-04	1993_Baltic_Cup
BLC	4	1992	1992-07-09	1992-07-12	1992_Baltic_Cup
BLC	4	1991	1991-11-14	1991-11-17	1991_Baltic_Cup
1928-38	3
BLC	4	1938	1938-09-02	1938-09-05	1938_Baltic_Cup
BLC	4	1937	1937-09-02	1937-09-07	1937_Baltic_Cup
BLC	4	1936	1936-08-28	1936-08-31	1936_Baltic_Cup
BLC	4	1935	1935-08-19	1935-08-22	1935_Baltic_Cup
BLC	4	1933	1933-09-01	1933-09-04	1933_Baltic_Cup
BLC	4	1932	1932-08-27	1932-08-30	1932_Baltic_Cup
BLC	4	1931	1931-08-29	1931-09-01	1931_Baltic_Cup
BLC	4	1930	1930-08-14	1930-08-17	1930_Baltic_Cup
BLC	4	1929	1929-08-13	1929-08-16	1929_Baltic_Cup
BLC	4	1928	1928-07-24	1928-07-27	1928_Baltic_Cup
DGC	2				1955-60_European_International_Cup
DGC	3	1955-60	1955-03-26	1960-01-06	1955-60_European_International_Cup
DGC	3	1948-53	1948-04-20	1953-12-13	1948-53_European_International_Cup
DGC	3	1936-38	1936-03-21	1938-04-03	1936-38_European_International_Cup
DGC	3	1933-35	1933-04-01	1935-11-24	1933-35_European_International_Cup
DGC	3	1931-32	1931-02-21	1932-10-28	1931-32_European_International_Cup
DGC	3	1927-30	1927-09-17	1930-05-11	1927-30_European_International_Cup
NRD	2				2000-01_Nordic_Championship
NRD	3	2000-01	2000-01-30	2001-02-01	2000-01_Nordic_Championship
NRD	3	1981-83	1981-05-13	1983-09-07	1981-83_Nordic_Championship
NRD	3	1978-80	1978-05-30	1980-08-21	1978-80_Nordic_Championship
NRD	3	1972-77	1972-05-27	1977-08-18	1972-77_Nordic_Championship
NRD	3	1968-71	1968-06-03	1971-09-26	1968-71_Nordic_Championship
NRD	4	1971	1971-05-19	1971-09-26	1971_Nordic_Championship
NRD	4	1970	1970-06-02	1970-09-23	1970_Nordic_Championship
NRD	4	1969	1969-05-21	1969-09-21	1969_Nordic_Championship
NRD	4	1968	1968-06-03	1968-09-15	1968_Nordic_Championship
NRD	3	1964-67	1964-06-27	1967-11-05	1964-67_Nordic_Championship
NRD	4	1967	1967-05-31	1967-11-05	1967_Nordic_Championship
NRD	4	1966	1966-06-03	1966-11-06	1966_Nordic_Championship
NRD	4	1965	1965-06-08	1965-10-31	1965_Nordic_Championship
NRD	4	1964	1964-06-27	1964-10-11	1964_Nordic_Championship
NRD	3	1960-63	1960-05-25	1963-10-06	1960-63_Nordic_Championship
NRD	4	1963	1963-06-02	1963-10-06	1963_Nordic_Championship
NRD	4	1962	1962-06-10	1962-10-28	1962_Nordic_Championship
NRD	4	1961	1961-06-17	1961-10-22	1961_Nordic_Championship
NRD	4	1960	1960-05-25	1960-10-23	1960_Nordic_Championship
NRD	3	1956-59	1956-06-09	1959-10-18	1956-59_Nordic_Championship
NRD	4	1959	1959-06-20	1959-10-18	1959_Nordic_Championship
NRD	4	1958	1958-06-14	1958-10-26	1958_Nordic_Championship
NRD	4	1957	1957-06-29	1957-10-13	1957_Nordic_Championship
NRD	4	1956	1956-06-09	1956-10-21	1956_Nordic_Championship
NRD	3	1952-55	1952-06-21	1955-10-16	1952-55_Nordic_Championship
NRD	4	1955	1955-06-18	1955-10-16	1955_Nordic_Championship
NRD	4	1954	1954-06-12	1954-10-31	1954_Nordic_Championship
NRD	4	1953	1953-06-20	1953-10-18	1953_Nordic_Championship
NRD	4	1952	1952-06-21	1952-10-19	1952_Nordic_Championship
NRD	3	1948-51	1948-06-11	1951-10-21	1948-51_Nordic_Championship
NRD	4	1951	1951-08-15	1951-10-21	1951_Nordic_Championship
NRD	4	1950	1950-06-21	1950-10-15	1950_Nordic_Championship
NRD	4	1949	1949-07-07	1949-10-23	1949_Nordic_Championship
NRD	4	1948	1948-06-11	1948-10-10	1948_Nordic_Championship
NRD	3	1937-47	1937-06-12	1947-10-05	1937-47_Nordic_Championship
NRD	4	1947	1947-06-14	1947-10-05	1947_Nordic_Championship
NRD	4	1939	1939-06-08	1939-10-22	1939_Nordic_Championship
